"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000137752.1",2.82818341757533e-08,0.731912984436788,0.047,0.027,0.00066303932041636,"2","ENSG00000137752"
"ENSG00000154582.1",2.90015600777043e-08,-0.601424864266669,0.059,0.092,0.000679912574461699,"2","ENSG00000154582"
"ENSG00000085224.2",3.13364081681324e-08,0.388571736012762,0.181,0.142,0.000734650753093695,"2","ENSG00000085224"
"ENSG00000000938.1",3.27403634607391e-08,1.28461843238603,0.027,0.013,0.000767565080973567,"2","ENSG00000000938"
"ENSG00000052841.1",3.33973619460517e-08,0.767204519644869,0.085,0.058,0.000782967753463236,"2","ENSG00000052841"
"ENSG00000163923.1",3.355869710398e-08,-1.28399586537334,0.011,0.03,0.000786750094905708,"2","ENSG00000163923"
"ENSG00000138185.1",3.35925442417482e-08,0.800414096921453,0.045,0.025,0.000787543607203544,"2","ENSG00000138185"
"ENSG00000166483.1",3.36714999088704e-08,-1.16763820177957,0.01,0.027,0.000789394643863558,"2","ENSG00000166483"
"ENSG00000112079.1",3.37074936181474e-08,0.712660002808501,0.071,0.046,0.000790238480383847,"2","ENSG00000112079"
"ENSG00000140931.2",3.37111914901885e-08,0.97694210728213,0.034,0.018,0.000790325173295979,"2","ENSG00000140931"
"ENSG00000110876.2",3.41550156438603e-08,1.19143498563679,0.021,0.009,0.00080073018675466,"2","ENSG00000110876"
"ENSG00000108370",3.55918808607844e-08,-3.29537992401476,0.001,0.013,0.000834416054900231,"2","ENSG00000108370"
"ENSG00000147408.2",3.57121984622826e-08,1.38055312476678,0.017,0.006,0.000837236780749753,"2","ENSG00000147408"
"ENSG00000177889.1",3.72166333167135e-08,-0.550701662866128,0.077,0.113,0.000872506751477032,"2","ENSG00000177889"
"ENSG00000206190",3.91453465134369e-08,1.86427666384218,0.011,0.003,0.000917723503661015,"2","ENSG00000206190"
"ENSG00000142945.1",3.99841669155968e-08,-1.38660918063437,0.012,0.03,0.000937388809169252,"2","ENSG00000142945"
"ENSG00000184076.1",4.0915950713234e-08,-0.392052434245493,0.108,0.15,0.000959233548521058,"2","ENSG00000184076"
"ENSG00000105639.1",4.15421508832239e-08,0.729168553407835,0.069,0.045,0.000973914185306301,"2","ENSG00000105639"
